player_id,handle,first_name,last_name,league,region,team_name,agent_role,total_games,total_kills,total_deaths,total_assists,total_first_kills,total_first_deaths,total_headshot,total_avg_dmg_rnd,total_rating,international_games,international_kills,international_deaths,international_assists,international_first_kills,international_first_deaths,international_headshot,international_avg_dmg_rnd,international_rating
110100871015518214,kayle,Ahmad Aqil,Bin Ariff,VCT Challengers,Pacific,Kizuna Esports,Controller,19,258,300,107,21,32,0.22375,125.53875,0.3462083478419315,0,0,0,0,0,0,0.0,0.0,0.0
107891879105834511,NiSMO,Marc-Andre,Tayar,VCT Challengers,Americas,M80,Initiator,82,1232,1097,806,151,120,0.3532075471698113,137.11716981132076,0.45876511976176365,0,0,0,0,0,0,0.0,0.0,0.0
112415928732509430,x jfoen,Jesus,Taboada,VCT Challengers,Americas,ILLICIT,Initiator,16,227,217,138,25,35,0.363125,110.70875,0.394270581122038,0,0,0,0,0,0,0.0,0.0,0.0
112428881227601256,mas1,Marlo Randy Ernesto,Noya,VCT Challengers,Pacific,DIS Esports,Flex,16,195,251,94,22,39,0.2175,129.00875,0.4176201155803575,0,0,0,0,0,0,0.0,0.0,0.0
109782785959620802,RIKU ,Christopher,John Piasecki,VCT Challengers,Americas,The Glazers,Flex,35,452,579,172,67,92,0.16714285714285712,114.94964285714286,0.22852460355220425,0,0,0,0,0,0,0.0,0.0,0.0
108844263427969181,Guuih,Guilherme,Guilherme,VCT Challengers,Americas,Stellae Gaming,Sentinel,67,990,903,300,112,88,0.27094339622641506,126.32981132075471,0.3699995289005074,0,0,0,0,0,0,0.0,0.0,0.0
112457160775896459,gbz,Gabriel,Santos Pereira,VCT Challengers,Americas,SAGAZ,Initiator,19,237,308,127,41,42,0.3368421052631579,118.37157894736842,0.36860531728402035,0,0,0,0,0,0,0.0,0.0,0.0
112478735188444661,xcool3,Nattadet ,Wijit,VCT Challengers,Pacific,Barn nong chok,Sentinel,15,267,209,57,22,24,0.3013333333333333,148.88733333333332,0.4307778651402858,0,0,0,0,0,0,0.0,0.0,0.0
106620843431382189,gio,Giovani,Lainati,VCT Challengers,Americas,Furious Gaming,Initiator,30,434,472,180,46,37,0.3545833333333333,124.8175,0.348584217088216,0,0,0,0,0,0,0.0,0.0,0.0
107046583301607234,frostmind,Muhammad Rafi,Diandra,VCT Challengers,Pacific,BIGETRON ARTIC,Sentinel,87,1232,1171,358,111,106,0.3328,129.7806,0.30385836358449564,0,0,0,0,0,0,0.0,0.0,0.0
107760838373328863,Papichulo,Federico,Evangelista,VCT Challengers,Pacific,NAOS Esports,Controller,52,808,587,396,60,48,0.29,130.8551923076923,0.4604338835053728,0,0,0,0,0,0,0.0,0.0,0.0
107815375711895985,Kiuuuu,Tsz Kiu,Yung,VCT Challengers,Pacific,Oblivion Force,Controller,92,1520,1259,671,176,141,0.36583333333333334,149.54366666666667,0.47533816466510503,0,0,0,0,0,0,0.0,0.0,0.0
107760858802604393,Tempz,Pierre,Heng,VCT Challengers,Pacific,LaZe,Flex,13,165,184,91,21,27,0.27384615384615385,113.76692307692308,0.43804601180064745,0,0,0,0,0,0,0.0,0.0,0.0
107760841714425985,Nay,NICO,ALVANIUS,VCT Challengers,Pacific,Cynical,Sentinel,67,971,1036,284,104,106,0.3289655172413793,119.4351724137931,0.2519057966600025,0,0,0,0,0,0,0.0,0.0,0.0
106490103047583140,rowancy,Constantino,Grijalva,VCT Challengers,Americas,TP REVEN,Sentinel,33,449,505,147,54,56,0.23366666666666666,123.736,0.3152258155789465,0,0,0,0,0,0,0.0,0.0,0.0
109981627925336936,Harshhh,Harsh,Arora,VCT Challengers,Pacific,RECKONING ESPORTS,Flex,56,810,823,444,86,95,0.21571428571428572,124.61463414634146,0.44919026836493325,0,0,0,0,0,0,0.0,0.0,0.0
109699079600020674,ZesBeeW,Muhammad,Musharraf Bin Mohtar,VCT Challengers,Pacific,BOOM ESPORTS,Flex,77,1322,1098,510,211,167,0.1997560975609756,139.78439024390244,0.6207805645850997,0,0,0,0,0,0,0.0,0.0,0.0
